iter	Passed	Remaining
316	7895	17010
317	7915	16975
318	7933	16936
319	7958	16911
320	7978	16877
321	7995	16835
322	8014	16798
323	8030	16754
324	8051	16721
325	8072	16689
326	8089	16650
327	8109	16613
328	8125	16572
329	8146	16540
330	8164	16501
331	8185	16469
332	8204	16433
333	8221	16394
334	8240	16357
335	8260	16323
336	8279	16288
337	8298	16252
338	8317	16217
339	8332	16174
340	8353	16143
341	8371	16106
342	8391	16073
343	8409	16036
344	8426	15998
345	8447	15966
346	8470	15939
347	8489	15906
348	8506	15867
349	8524	15830
350	8544	15798
351	8566	15769
352	8582	15731
353	8601	15697
354	8618	15659
355	8637	15624
356	8653	15586
357	8670	15548
358	8686	15509
359	8705	15476
360	8721	15438
361	8740	15404
362	8760	15373
363	8781	15342
364	8795	15301
365	8812	15266
366	8826	15223
367	8851	15201
368	8870	15168
369	8887	15133
370	8906	15100
371	8925	15067
372	8944	15035
373	8963	15003
374	8978	14964
375	8997	14931
376	9016	14900
377	9037	14871
378	9055	14838
379	9078	14812
380	9096	14779
381	9116	14749
382	9134	14714
383	9152	14682
384	9176	14659
385	9196	14628
386	9215	14597
387	9232	14562
388	9249	14528
389	9266	14493
390	9285	14462
391	9304	14431
392	9325	14403
393	9345	14374
394	9370	14351
395	9389	14321
396	9404	14283
397	9422	14252
398	9443	14223
399	9465	14197
400	9487	14172
401	9506	14141
402	9528	14115
403	9546	14083
404	9568	14057
405	9587	14027
406	9609	14000
407	9628	13970
408	9648	13941
409	9673	13920
410	9691	13889
411	9713	13863
412	9735	13836
413	9753	13805
414	9773	13777
415	9790	13744
416	9809	13714
417	9828	13685
418	9846	13653
419	9870	13630
420	9888	13599
421	9918	13585
422	9938	13556
423	9959	13530
424	9979	13502
425	9998	13472
426	10017	13442
427	10036	13413
428	10054	13382
429	10074	13355
430	10089	13320
431	10111	13294
432	10133	13269
433	10150	13237
434	10170	13210
435	10188	13179
436	10203	13145
437	10224	13118
438	10247	13095
439	10265	13064
440	10285	13037
441	10304	13008
442	10323	12979
443	10339	12947
444	10358	12918
445	10383	12897
446	10401	12868
447	10419	12838
448	10438	12809
449	10458	12782
450	10486	12764
451	10504	12735
452	10520	12703
453	10538	12674
454	10554	12642
455	10578	12619
456	10596	12590
457	10610	12556
458	10629	12528
459	10646	12497
460	10661	12465
461	10684	12442
462	10701	12411
463	10720	12383
464	10738	12355
465	10760	12330
466	10781	12305
467	10798	12275
468	10819	12250
469	10842	12226
470	10862	12200
471	10884	12175
472	10902	12147
473	10921	12119
474	10943	12095
475	10978	12085
476	10999	12060
477	11024	12039
478	11043	12011
479	11062	11984
480	11083	11958
481	11108	11938
482	11127	11910
483	11146	11883
484	11165	11856
485	11184	11829
486	11202	11800
487	11226	11778
488	11242	11748
489	11261	11721
490	11280	11694
491	11298	11666
492	11322	11644
493	11343	11618
494	11361	11591
495	11380	11564
496	11397	11535
497	11424	11515
498	11442	11488
499	11461	11461
500	11478	11433
501	11496	11405
502	11523	11386
503	11539	11356
504	11554	11325
505	11572	11298
506	11592	11272
507	11617	11251
508	11633	11222
509	11654	11197
510	11674	11171
511	11693	11145
512	11719	11125
513	11738	11098
514	11756	11071
515	11774	11044
516	11791	11016
517	11813	10992
518	11834	10968
519	11854	10942
520	11873	10915
521	11889	10887
522	11916	10868
523	11936	10842
524	11956	10817
525	11976	10792
526	11996	10767
527	12020	10745
528	12039	10719
529	12056	10691
530	12073	10663
531	12091	10636
532	12113	10613
533	12132	10587
534	12150	10560
535	12167	10532
536	12185	10506
537	12204	10480
538	12224	10455
539	12246	10431
540	12265	10406
541	12283	10379
542	12301	10353
543	12333	10338
544	12358	10317
545	12384	10297
546	12404	10273
547	12435	10257
548	12472	10246
549	12497	10225
550	12539	10218
551	12563	10196
552	12582	10170
553	12602	10145
554	12623	10121
555	12643	10096
556	12663	10071
557	12680	10044
558	12698	10017
559	12719	9993
560	12737	9967
561	12761	9945
562	12778	9918
563	12796	9892
564	12816	9867
565	12842	9847
566	12859	9820
567	12879	9795
568	12901	9772
569	12920	9747
570	12942	9723
571	12959	9697
572	12976	9669
573	12996	9645
574	13016	9620
575	13038	9598
576	13056	9572
577	13074	9546
578	13093	9520
579	13112	9495
580	13133	9471
581	13151	9445
582	13171	9421
583	13190	9395
584	13209	9370
585	13228	9345
586	13249	9321
587	13267	9296
588	13286	9271
589	13305	9246
590	13325	9222
591	13345	9197
592	13364	9172
593	13381	9146
594	13399	9120
595	13421	9098
596	13440	9073
597	13457	9046
598	13474	9020
599	13496	8997
600	13518	8975
601	13541	8952
602	13561	8928
603	13579	8903
604	13601	8880
605	13618	8854
606	13641	8831
607	13657	8805
608	13676	8780
609	13694	8755
610	13713	8730
611	13741	8711
612	13760	8686
613	13779	8662
614	13800	8639
615	13819	8614
616	13839	8590
617	13855	8564
618	13872	8538
619	13892	8514
620	13909	8489
621	13928	8464
622	13951	8442
623	13968	8416
624	13989	8393
625	14008	8369
626	14031	8347
627	14054	8325
628	14075	8302
629	14097	8279
630	14116	8255
631	14133	8229
632	14156	8207
633	14181	8186
634	14207	8166
635	14263	8163
636	14282	8139
637	14304	8116
638	14320	8090
639	14346	8069
640	14364	8045
641	14383	8020
642	14400	7995
643	14415	7968
644	14438	7946
645	14456	7921
646	14473	7896
647	14489	7871
648	14511	7848
649	14533	7825
650	14562	7806
651	14583	7783
652	14602	7759
653	14620	7734
654	14642	7712
655	14665	7690
656	14683	7665
657	14702	7641
658	14727	7620
659	14756	7601
660	14780	7580
661	14799	7556
662	14824	7535
663	14849	7514
664	14865	7488
665	14882	7463
666	14901	7439
667	14918	7414
668	14937	7390
669	14959	7368
670	14976	7343
671	14995	7319
672	15016	7296
673	15039	7274
674	15063	7252
675	15085	7230
676	15105	7206
677	15122	7182
678	15142	7158
679	15159	7133
680	15176	7109
681	15195	7085
682	15214	7061
683	15234	7038
684	15255	7015
685	15272	6990
686	15290	6966
687	15309	6942
688	15326	6918
689	15346	6894
690	15366	6871
691	15387	6848
692	15408	6825
693	15426	6801
694	15445	6778
695	15471	6757
696	15491	6734
697	15511	6711
698	15528	6687
699	15544	6661
700	15569	6640
701	15589	6617
702	15607	6593
703	15623	6569
704	15639	6544
705	15658	6520
706	15677	6497
707	15696	6473
708	15713	6449
709	15735	6427
710	15751	6402
711	15770	6379
712	15790	6355
713	15808	6332
714	15827	6309
715	15848	6286
716	15871	6264
717	15886	6239
718	15902	6215
719	15919	6190
720	15937	6167
721	15959	6145
722	15979	6122
723	15994	6097
724	16015	6074
725	16035	6052
726	16060	6030
727	16082	6008
728	16101	5985
729	16118	5961
730	16134	5937
731	16156	5915
732	16175	5892
733	16196	5869
734	16215	5846
735	16232	5822
736	16252	5799
737	16272	5776
738	16293	5754
739	16314	5731
740	16332	5708
741	16353	5686
742	16372	5663
743	16389	5639
744	16409	5616
745	16427	5593
746	16446	5570
747	16465	5547
748	16486	5524
749	16501	5500
750	16521	5477
751	16544	5456
752	16565	5433
753	16582	5410
754	16602	5387
755	16622	5364
756	16640	5341
757	16653	5316
758	16678	5295
759	16697	5273
760	16717	5250
761	16735	5227
762	16761	5206
763	16780	5183
764	16799	5160
765	16817	5137
766	16833	5113
767	16855	5091
768	16875	5069
769	16894	5046
770	16912	5023
771	16932	5000
772	16950	4977
773	16974	4956
774	16991	4932
775	17009	4909
776	17029	4887
777	17048	4864
778	17069	4842
779	17089	4820
780	17107	4797
781	17124	4773
782	17142	4750
783	17162	4728
784	17178	4704
785	17196	4682
786	17215	4659
787	17236	4637
788	17255	4614
789	17278	4593
790	17298	4570
791	17317	4547
792	17337	4525
793	17357	4503
794	17378	4481
795	17397	4458
796	17413	4435
797	17431	4412
798	17451	4390
799	17472	4368
800	17490	4345
801	17507	4322
802	17524	4299
803	17543	4276
804	17568	4255
805	17587	4233
806	17604	4210
807	17623	4187
808	17640	4164
809	17661	4142
810	17684	4121
811	17706	4099
812	17723	4076
813	17739	4053
814	17765	4032
815	17781	4009
816	17795	3986
817	17817	3964
818	17836	3941
819	17858	3920
820	17881	3898
821	17902	3876
822	17920	3854
823	17938	3831
824	17959	3809
825	17982	3787
826	17998	3765
827	18016	3742
828	18035	3720
829	18055	3698
830	18080	3677
831	18099	3654
832	18116	3631
833	18132	3609
834	18150	3586
835	18170	3564
836	18189	3542
837	18210	3520
838	18232	3498
839	18251	3476
840	18279	3455
841	18299	3433
842	18320	3411
843	18342	3390
844	18365	3368
845	18385	3346
846	18403	3324
847	18429	3303
848	18449	3281
849	18472	3259
850	18494	3238
851	18512	3215
852	18529	3193
853	18548	3170
854	18571	3149
855	18589	3127
856	18609	3105
857	18627	3082
858	18644	3060
859	18667	3038
860	18686	3016
861	18709	2995
862	18731	2973
863	18752	2951
864	18777	2930
865	18796	2908
866	18813	2885
867	18834	2864
868	18854	2842
869	18877	2820
870	18893	2798
871	18911	2776
872	18930	2753
873	18950	2731
874	18977	2711
875	18995	2688
876	19013	2666
877	19033	2644
878	19055	2623
879	19079	2601
880	19103	2580
881	19122	2558
882	19139	2536
883	19157	2513
884	19178	2492
885	19195	2469
886	19213	2447
887	19231	2425
888	19252	2403
889	19275	2382
890	19294	2360
891	19316	2338
892	19336	2316
893	19353	2294
894	19369	2272
895	19390	2250
896	19406	2228
897	19423	2206
898	19442	2184
899	19460	2162
900	19480	2140
901	19501	2118
902	19518	2096
903	19537	2074
904	19559	2053
905	19582	2031
906	19601	2009
907	19619	1987
908	19640	1966
909	19658	1944
910	19680	1922
911	19701	1901
912	19722	1879
913	19741	1857
914	19765	1836
915	19785	1814
916	19806	1792
917	19823	1770
918	19840	1748
919	19859	1726
920	19881	1705
921	19897	1683
922	19916	1661
923	19936	1639
924	19956	1618
925	19978	1596
926	20003	1575
927	20021	1553
928	20042	1531
929	20061	1510
930	20078	1488
931	20099	1466
932	20119	1444
933	20137	1423
934	20154	1401
935	20171	1379
936	20198	1358
937	20216	1336
938	20237	1314
939	20262	1293
940	20291	1272
941	20312	1250
942	20330	1228
943	20347	1207
944	20366	1185
945	20391	1163
946	20410	1142
947	20430	1120
948	20448	1098
949	20465	1077
950	20491	1055
951	20511	1034
952	20529	1012
953	20550	990
954	20569	969
955	20592	947
956	20612	926
957	20630	904
958	20647	882
959	20667	861
960	20691	839
961	20712	818
962	20733	796
963	20757	775
964	20779	753
965	20802	732
966	20821	710
967	20841	688
968	20858	667
969	20875	645
970	20897	624
971	20917	602
972	20939	581
973	20960	559
974	20981	537
975	21003	516
976	21024	494
977	21043	473
978	21062	451
979	21080	430
980	21104	408
981	21121	387
982	21138	365
983	21158	344
984	21185	322
985	21217	301
986	21243	279
987	21262	258
988	21288	236
989	21307	215
990	21324	193
991	21346	172
992	21364	150
993	21385	129
994	21404	107
995	21424	86
996	21444	64
997	21461	43
998	21482	21
999	21503	0
