iter	RMSE
474	0.1389203601
475	0.1389190435
476	0.1388832074
477	0.1388521445
478	0.1388154433
479	0.1387956055
480	0.1387621822
481	0.1387057695
482	0.1387045011
483	0.1386735778
484	0.1386334508
485	0.1386322802
486	0.1385951555
487	0.1384831571
488	0.1384511606
489	0.1384124357
490	0.1383838702
491	0.1383827866
492	0.1383505669
493	0.1382963858
494	0.1382948203
495	0.138253917
496	0.1382003756
497	0.1381688451
498	0.1381282405
499	0.1381120118
500	0.1380740843
501	0.1380731072
502	0.1380290619
503	0.1380273361
504	0.1380027643
505	0.1379459941
506	0.1379134735
507	0.1378719385
508	0.1378425363
509	0.1378132779
510	0.1378105128
511	0.1377713389
512	0.1377705399
513	0.1377282907
514	0.1377272192
515	0.1376915316
516	0.1376782153
517	0.1376421964
518	0.1376075784
519	0.1375649402
520	0.1375638856
521	0.1375107601
522	0.1374752004
523	0.1374739607
524	0.137472866
525	0.1374625608
526	0.1374272623
527	0.1373822524
528	0.1373473121
529	0.1373437073
530	0.137305959
531	0.1372720293
532	0.1372417791
533	0.1372208786
534	0.1371757796
535	0.137137444
536	0.1371015636
537	0.1370762017
538	0.1370752329
539	0.1370361852
540	0.1370075816
541	0.1370063203
542	0.1369952201
543	0.1369940761
544	0.1369603761
545	0.1369592789
546	0.1369429936
547	0.1369419484
548	0.1368998085
549	0.1368759999
550	0.1368747262
551	0.1368357438
552	0.1367979037
553	0.136752718
554	0.1366982769
555	0.1366463406
556	0.1366109649
557	0.1365832718
558	0.1365809344
559	0.1365798382
560	0.136551718
561	0.1365284515
562	0.1365274659
563	0.1365231135
564	0.1364998748
565	0.1364746441
566	0.1364409601
567	0.1363964901
568	0.1363763233
569	0.13637525
570	0.1363497797
571	0.136328817
572	0.1362626824
573	0.1362576269
574	0.1361985357
575	0.1361973385
576	0.1361405236
577	0.1361388872
578	0.136096349
579	0.1360551415
580	0.1360222889
581	0.1359939103
582	0.1359770831
583	0.1359407374
584	0.1358962865
585	0.1358587262
586	0.1358248399
587	0.1357696952
588	0.1357261968
589	0.135725169
590	0.1356918221
591	0.1356433418
592	0.1356426262
593	0.1356103595
594	0.1355707373
595	0.1355698232
596	0.1355298431
597	0.1355127204
598	0.1354738536
599	0.1354268109
600	0.1353888988
601	0.1353765687
602	0.1353328994
603	0.1352904829
604	0.1352605124
605	0.1352558743
606	0.1352217584
607	0.1352069912
608	0.1352053176
609	0.1351892988
610	0.1351620507
611	0.1351411013
612	0.1350949926
613	0.1350940303
614	0.1350684503
615	0.1350545469
616	0.1350539596
617	0.1350273495
618	0.1350262985
619	0.1350243711
620	0.1349673401
621	0.134966437
622	0.1349443218
623	0.134901288
624	0.1348630423
625	0.1348506804
626	0.134824432
627	0.1347858811
628	0.1347459855
629	0.1347022131
630	0.1346644047
631	0.1346487751
632	0.1346243647
633	0.1346116167
634	0.1345739372
635	0.1345429375
636	0.1345418212
637	0.1344760315
638	0.1344599299
639	0.1344078192
640	0.1343790993
641	0.1343740667
642	0.1343729086
643	0.1343499669
644	0.1342969203
645	0.1342769344
646	0.1342196938
647	0.1341805226
648	0.1341351821
649	0.1341166613
650	0.1341000202
651	0.1340628653
652	0.1340269811
653	0.1339951249
654	0.133957691
655	0.1339436673
656	0.133929597
657	0.1339041379
658	0.1338403085
659	0.133824108
660	0.133787839
661	0.1337639941
662	0.1337629587
663	0.1337432374
664	0.1337166136
665	0.1337101977
666	0.1337096744
667	0.1336949984
668	0.1336692542
669	0.1336538726
670	0.133633034
671	0.1336258277
672	0.1336247849
673	0.1335808694
674	0.1335276285
675	0.1335129786
676	0.1334805412
677	0.1334704525
678	0.1334694175
679	0.1334689192
680	0.133429478
681	0.1333813896
682	0.1333360399
683	0.1333105857
684	0.1332588835
685	0.1332580326
686	0.1332347215
687	0.1331966244
688	0.1331821976
689	0.1331431635
690	0.1331272698
691	0.1331132474
692	0.1330795275
693	0.1330384155
694	0.1329819254
695	0.1329480902
696	0.1329161086
697	0.132881666
698	0.1328530716
699	0.132827804
700	0.1327968736
701	0.1327782692
702	0.1327775415
703	0.1327656896
704	0.1327402379
705	0.1327276243
706	0.1327172245
707	0.1326902869
708	0.1326731014
709	0.1326192141
710	0.1325807391
711	0.1325565728
712	0.1325092321
713	0.1324844061
714	0.1324473223
715	0.1324408248
716	0.1324147945
717	0.1323675734
718	0.1323314711
719	0.1323308582
720	0.132297344
721	0.1322567723
722	0.1322202213
723	0.1321983542
724	0.1321609251
725	0.1321260843
726	0.1320865591
727	0.132042113
728	0.132004867
729	0.1320032335
730	0.1319686516
731	0.1319447447
732	0.1319308746
733	0.1318565872
734	0.1318246754
735	0.1317840095
736	0.1317760788
737	0.1317347252
738	0.1317023917
739	0.1316751673
740	0.1316497572
741	0.1316340431
742	0.1316055324
743	0.1315720457
744	0.1315387485
745	0.1315331782
746	0.1315094616
747	0.1314877691
748	0.1314765582
749	0.1314652069
750	0.1314354328
751	0.1313922347
752	0.131384956
753	0.1313843916
754	0.1313366268
755	0.1313161808
756	0.1312807918
757	0.1312388577
758	0.1311899903
759	0.131158261
760	0.1311366316
761	0.1311054003
762	0.1310928508
763	0.1310563478
764	0.1310307305
765	0.1310282755
766	0.1310249683
767	0.1309964799
768	0.1309952713
769	0.1309492489
770	0.1308994804
771	0.1308983366
772	0.1308580432
773	0.1308472555
774	0.130839938
775	0.1308277927
776	0.1308143786
777	0.1308131647
778	0.130779286
779	0.1307658403
780	0.1307460819
781	0.1307355396
782	0.1307349127
783	0.1307334713
784	0.1307186466
785	0.1306866224
786	0.1306703392
787	0.1306416044
788	0.1306293577
789	0.1306038676
790	0.1305883777
791	0.1305477188
792	0.1305469887
793	0.1305010029
794	0.1304766352
795	0.1304502433
796	0.1304265621
797	0.1304032285
798	0.1303601502
799	0.1303594159
